player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Javon Solomon,97821,ED,TROY,10,9,1,50.0,0,1,318,58.2,74.2,66.1,74.8,72.4,52.0,6,16,0,10,17.1,6,0,1,60.4,3,3,29,0,33,401,369,0,7,340,22,0,32,184,184,3,17,20,6,25,0,24,10,8.0
Caden Haws,97846,DI,BYU,12,5,0,,0,0,128,60.0,62.9,48.9,61.1,64.4,80.1,0,5,0,,0.0,0,0,1,0.0,0,0,0,0,0,223,223,115,107,0,1,0,0,130,93,0,8,11,0,5,0,0,0,
John Jackson III,97866,WR,USC,1,0,0,,0,0,326,60.0,55.6,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jeff Foreman,97868,WR,ARK STATE,2,0,0,,0,0,113,60.0,60.3,64.5,,60.0,,0,0,0,,,0,0,1,0.0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,
Martin Emerson,97872,CB,MISS STATE,11,8,0,55.9,0,0,227,82.9,81.9,87.1,59.8,68.3,73.7,0,2,0,34,10.8,8,12,4,76.0,33,0,30,680,410,737,18,0,0,18,0,0,719,8,319,9,23,58,59,2,1,306,90,9.3
Kejuan Markham,97873,S,ARIZONA ST,3,0,0,100.0,0,0,110,58.5,59.7,84.8,,62.1,61.3,0,0,0,21,0.0,0,0,0,158.3,1,0,8,0,46,65,0,0,0,0,0,41,65,0,19,15,0,5,1,0,1,21,0,21.0
Keon Markham,97875,CB,ARIZONA ST,2,0,0,40.0,0,0,110,44.8,44.9,74.4,,60.0,77.0,0,0,0,13,0.0,0,0,0,48.3,4,0,0,29,26,29,0,0,0,0,0,0,29,0,3,0,0,2,10,0,0,31,8,7.8
Tony Davis,97876,CB,DUKE,3,0,0,,0,0,154,62.1,44.9,70.6,,33.6,23.8,0,0,0,,66.7,2,0,0,0.0,0,0,2,9,2,11,0,0,0,0,0,0,11,0,9,0,0,1,0,0,0,0,0,
Jamal Morris,97881,LB,OKLAHOMA,3,0,0,100.0,0,0,261,48.8,55.9,71.2,66.6,62.4,76.4,1,1,0,20,0.0,0,0,0,158.3,1,0,28,0,11,28,0,0,0,0,0,0,28,2,15,0,2,2,1,2,1,20,12,20.0
Gavin Potter,97883,LB,KANSAS,8,10,0,68.8,0,0,198,35.7,35.5,38.4,68.5,37.4,35.1,3,7,0,26,23.2,13,2,2,139.6,11,0,401,1,176,426,2,0,0,2,0,0,424,34,216,22,19,33,16,10,2,156,74,14.2
Jalen Jackson,97887,CB,MIDDLE TN,5,1,0,66.7,0,0,224,69.3,71.3,79.0,,73.4,83.4,0,0,0,44,0.0,0,0,0,129.9,4,0,6,77,38,97,1,0,0,1,0,0,96,0,59,13,3,6,6,0,1,47,12,11.8
Dominic Tatum,97888,S,UTAH ST,5,7,0,50.0,0,0,329,49.9,43.6,0.0,55.7,40.8,72.7,1,0,0,52,5.3,1,1,3,135.4,3,0,57,2,84,182,2,0,0,2,0,99,180,2,96,22,1,11,6,1,1,104,50,34.7
